Company Name,Employees,HQ Location,Ownership Status,Description,Verticals,Primary Industry Sector,Primary Industry Group,Last Financing Date,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Size,Last Financing Valuation,Total Raised,# Active Investors,Active Investors,Website
Fair,400,"Santa Monica, CA",Privately Held (backing),"Developer of a vehicles leasing platform intended to offer a new way to get a car that responds to consumer demand for more freedom. The company's platform allows users to select their car, miles and view their payments - all in a mobile and paperless end-to-end experience that's simple, transparent and affordable, providing users with the flexibility to drive the car they want for as long as they want and the ability to walk away any time, eliminating the long-term commitment of traditional financing or leasing.","Car-Sharing, FinTech",Information Technology,Software,17-Jan-19,Debt - General,,50,,"1,557.90",31,"137 Ventures, 3Rodeo, Archer Venture Capital, Black River Ventures, BMW i Ventures, Charles River Ventures, Core Innovation Capital, CreditEase, Cross Culture Ventures, Ergo (Germany), Expanding Capital, Exponential Partners, FJ Labs, Foundation Capital, G Squared, Hambro Perks, Idealab, Javelin Venture Partners, Mercedes Benz, MicroVentures, Millennium Technology Value Partners, Moonshots Capital, Next47, NWS Holdings, Obvious Ventures, Penske Automotive Group, Sherpa Capital, SoftBank Group, Taurus Ventures, University Growth Fund, Upfront Ventures",www.fair.com
NorCal Cannabis Company,350,"San Francisco, CA",Privately Held (backing),"Owner and operator of a holding company building the largest vertically-integrated and direct-to-consumer cannabis platform in California. The company's mission is to bridge the rich heritage of the industry with its exciting, innovative future and usher in a new generation of consumer and partner ecosystem, providing consumers, retailers and distributors premium brands and growing assets from production to retail, to delivery.",Cannabis,Materials and Resources,Agriculture,18-Jan-19,Early Stage VC,Series A,27.4,,50,3,"Cannabis Growth Opportunity, Cresco Capital Partners, JM10 Partners",www.norcalcann.com
Homer Logistics,300,"New York, NY",Privately Held (backing),"Provider of a local delivery fulfillment platform designed to support merchants' delivery needs in urban areas. The company's local delivery fulfillment platform understands and predicts delivery patterns, as well as schedules employees in accordance with delivery demand, enabling businesses to outsource delivery operations and specialize on their core competency.","Industrials, TMT",Business Products and Services (B2B),Commercial Services,31-Jul-17,Early Stage VC,Series A,8.51,25.51,14.54,19,"Alpine Meridian, Brooklyn Bridge Ventures, Chad Byers, Dave Lerner, FJ Labs, Haystack, JAB Brands, Jenny Fielding, Laconia Capital Group, Partnership for New York City, Pascal Levy-Garboua, Paul Sethi, Peter Hershberg, Rakesh Agrawal, Rosecliff Venture Partners, RSE Ventures, Sohin Shah, Two Sigma Ventures, Vayner/RSE",www.homerlogistics.com
The Athletic,300,"San Francisco, CA",Privately Held (backing),"Provider of a subscription based sports media platform designed to offer in-depth sports coverage and related information. The company's platform offers in-depth articles on local and national sports, that are free of advertisements, pop-ups and auto-play videos, enabling users to get authentic sports news and articles from talented local and national sports journalists, covering 35+ markets across North America.",TMT,Consumer Products and Services (B2C),Media,29-May-19,Later Stage VC,Series C1,21.76,328.76,91.76,19,"Advancit Capital, Ali Rowghani, Amasia, Bedrock, Bertelsmann Digital Media Investments, Chris Silbermann, Comcast Ventures, CourtsideVC, Evolution Media, Founders Fund, LionTree Partners, Luminari Capital, Michael Horvath, Ore Ventures, Precursor Ventures, Rabil Ventures, Switch Ventures, The Chernin Group, Y Combinator",www.theathletic.com
Sounding Board,300,"Aliso Viejo, CA",Privately Held (backing),"Provider of real-time leadership coaching services intended to help growing companies develop their leaders through tech-enabled leadership coaching. The company's coaching services combines one to one coaching with technology including personalized development plans, providing a personalized and scalable leadership development service focused on driving positive business outcomes, enabling employees to improve their productivity at work.","Mobile, TMT",Consumer Products and Services (B2C),Services (Non-Financial),30-Jan-19,Accelerator/Incubator,,,,1.5,3,"Bloomberg Beta, Precursor Ventures, SAP.iO Foundry",www.soundingboardinc.com
Candid Co,300,"New York, NY",Privately Held (backing),"Provider of teeth alignment technology designed to offer hassle free dental alignment service. The company's custom-made teeth aligners are made of a smooth, comfortable, BPA-free plastic that won't irritate cheeks and gums like traditional braces often do, enabling users to straighten and brighten their teeth for 65% less with orthodontist-designed custom clear aligners.",,Healthcare,Healthcare Devices and Supplies,10-Apr-19,Early Stage VC,Series B,63.4,,109.65,11,"Arena Ventures, Bessemer Venture Partners, Blisce, e.ventures, FoundersGuild, Greycroft, Jeffrey Katzenberg, Mousse Partners, Paige Craig, RiverPark Funds, Sinai Ventures",www.candidco.com
Bright Machines,300,"San Francisco, CA",Privately Held (backing),"Developers of an intelligent manufacturing software platform designed to automate manufacturing operations and robotics. The company's platform leverages artificial intelligence, machine learning and production data to develop robots that are sensor rich, have computer vision and are highly adaptable, enabling clients to innovate faster and meet the growing demands.","Advanced Manufacturing, Artificial Intelligence & Machine Learning, Robotics and Drones",Information Technology,Software,14-Mar-19,Early Stage VC,,,,229,7,"Balyasny Asset Management, BMW i Ventures, Eclipse Ventures, EDBI, FlexTronics, Geodesic Capital, Lux Capital",www.brightmachines.com
Pico (Electronics),300,"San Francisco, CA",Privately Held (backing),"Manufacturer of VR technology products designed to perform at the highest level of All-in-One (AIO) solutions for businesses and consumers. The company offers products with the latest VR technology and creates headsets, which eliminates the need for PC's, Phones or Wired connections, enabling businesses to deploy their VR apps to their users with a much lower management overhead and with a very low barrier to user engagement and for consumers to access premium VR technology.","Artificial Intelligence & Machine Learning, Augmented Reality, Internet of Things, Manufacturing, Mobile, TMT, Virtual Reality",Consumer Products and Services (B2C),Consumer Durables,31-Jul-18,Early Stage VC,Series A,24.7,,24.7,3,"GF Securities, GF Xinde Investment Management, Jufeng S&T Venture Investment",www.pico-interactive.com
The Pill Club,260,"Redwood City, CA",Privately Held (backing),"Provider of a telemedicine service designed to simplify the process of getting birth control, from prescription to delivery. The company's service provides a personalized and connected healthcare experience by delivering birth control, emergency contraceptives and free gifts, enabling women to take ownership of their health and bodies, while ensuring access and personal freedom.","FemTech, HealthTech, TMT",Healthcare,Healthcare Services,22-Jan-19,Later Stage VC,Series B,51,251,68.14,8,"500 Startups, ACME Capital, Base10 Partners, GV, Kima Ventures, Shasta Ventures, StartX, VMG Partners",www.thepillclub.com
Flow Kana,245,"Sacramento, CA",Privately Held (backing),"Operator of a sustainable, sun-grown cannabis brand designed to represent two of California's most special micro-climates and their small farmer ecosystems. The company's cannabis are generated using only organic methods, enabling qualified consumers to avail consistent and reliable selection of carefully curated, pesticide free, cannabis products.","Cannabis, LOHAS & Wellness, TMT",Healthcare,Pharmaceuticals and Biotechnology,14-Feb-19,Early Stage VC,Series B,125,,175,7,"Gotham Green Partners, Jonathan Slimak, Monstro Ventures, Noah Slimak, Poseidon Asset Management, Roger McNamee, Salveo Capital",www.flowkana.com
ShipMonk,220,"Deerfield Beach, FL",Privately Held (backing),"Provider of inventory management tools intended for shipping and fulfilment services. The company's tools focus on building their brands and achieving growth rather than managing backend logistics with the help of application programming interface which synchronises directly with customers' marketplace platforms and online shopping carts to automatically import orders, enabling small and midsized companies to focus on building their brand and achieving next-level growth.","E-Commerce, FinTech",Business Products and Services (B2B),Commercial Services,5-Nov-18,Early Stage VC,Series A,10,,10.02,5,"Fau Tech Runway, Florida Atlantic University Foundation, Grotech Ventures, SJF Ventures, Supply Chain Ventures",www.shipmonk.com
Hustle,200,"San Francisco, CA",Privately Held (backing),"Provider of a mobile-based audience engagement application designed for organizations to communicate with people. The company's tool for advocacy organizations to conduct meaningful one-to-one texting conversations with their members, enabling them effectively reaching the people they serve.","Mobile, Mobile Commerce, TMT",Information Technology,Software,1-Apr-18,Early Stage VC,Series B,30,150,41.95,16,"Canvas Ventures, Designer Fund, Foundation Capital, GSV AcceleraTE, GV, Higher Ground SICAV, Index Ventures (UK), Insight Partners, Kapor Capital, Matrix Partners, New Media Ventures, Omidyar Network, Salesforce Ventures, Social Capital, Spero Ventures, Twilio Fund",www.hustle.com
Nuro,200,"Mountain View, CA",Privately Held (backing),"Developer of a suite of robotics designed to make life easier and help us connect to the people and things we love.. The company's vehicle is a fully autonomous, on-road vehicle designed to transport goods quickly, safely, and affordably, enabling users with a self-driving vehicle made for local goods transportation.","Artificial Intelligence & Machine Learning, Autonomous cars, Industrials, LOHAS & Wellness, Restaurant Technology, Robotics and Drones, TMT",Consumer Products and Services (B2C),Transportation,11-Feb-19,Early Stage VC,,940,"2,700.00","1,032.00",3,"Gaorong Capital, Greylock Partners, SoftBank Group",www.nuro.ai
Starship Technologies,200,"San Francisco, CA",Privately Held (backing),"Developer of self-driving robotic delivery vehicles designed to help in product delivery. The company's self-driving robotic delivery vehicles are equipped with a sensor suite that includes cameras, enabling consumers to send and receive products anytime and anywhere.","Artificial Intelligence & Machine Learning, Autonomous cars, FoodTech, Industrials, Restaurant Technology, Robotics and Drones, TMT",Consumer Products and Services (B2C),Consumer Durables,7-Jun-18,Seed Round,Seed Round,25,,42.2,11,"Daimler, Gary Barber, Grishin Robotics, HOF Capital (New York), Jaan Tallinn, Matrix Partners, Morpheus Ventures, Nathan Blecharczyk, Playfair Capital, Shasta Ventures, ZX Ventures",www.starship.xyz
